from,to,cost
0,1,2.0
0,2,254.0
0,5,73.0
0,8,1.0
0,10,2.0
0,11,2.0
0,12,8.0
0,21,21.0
0,22,10.0
0,26,115.0
0,27,1.0
0,30,1.0
0,31,5.0
0,32,4.0
0,33,6.0
0,35,30.0
0,37,2.0
0,38,15.0
0,39,1.0
0,40,49.0
0,47,2.0
0,49,8.0
0,51,57.0
0,52,3.0
0,53,27.0
0,54,1.0
0,56,42.0
0,58,143.0
0,59,133.0
0,65,7.0
0,71,33.0
0,74,87.0
0,75,33.0
0,78,1.0
0,79,1.0
0,80,9.0
0,82,5.0
0,83,15.0
0,84,23.0
0,89,5.0
0,92,5.0
0,96,2.0
0,99,4.0
0,102,2.0
0,104,4.0
0,107,15.0
0,109,8.0
0,110,15.0
0,116,1.0
0,117,1.0
0,118,1.0
0,123,1.0
0,124,9.0
0,125,12.0
0,129,20.0
0,130,2.0
0,135,158.0
0,136,24.0
0,141,2.0
0,142,3.0
0,153,8.0
0,159,5.0
0,161,91.0
0,162,5.0
0,166,1.0
0,171,5.0
0,173,1.0
0,179,23.0
0,180,1.0
0,185,101.0
0,187,1.0
0,188,3.0
0,190,1.0
0,193,5.0
0,194,12.0
0,195,49.0
0,197,3.0
0,201,1.0
0,206,34.0
0,210,11.0
0,211,2.0
0,212,24.0
0,214,4.0
0,215,10.0
0,216,3.0
0,218,4.0
0,219,157.0
0,224,1.0
0,225,9.0
0,229,3.0
0,230,30.0
0,231,2.0
0,236,2.0
0,237,36.0
0,238,9.0
0,239,2.0
0,242,6.0
0,243,5.0
0,249,6.0
0,250,2.0
0,255,125.0
0,260,9.0
0,261,2.0
0,262,2.0
0,263,83.0
0,267,19.0
0,270,2.0
0,271,111.0
0,272,83.0
0,273,1.0
0,274,5.0
0,275,7.0
0,280,4.0
0,284,30.0
0,286,50.0
0,288,3.0
0,289,1.0
0,294,4.0
1,2,17.0
1,6,1.0
1,8,67.0
1,11,8.0
1,12,14.0
1,13,12.0
1,14,19.0
1,18,2.0
1,21,1.0
1,22,3.0
1,26,21.0
1,27,7.0
1,29,2.0
1,30,3.0
1,32,1.0
1,33,76.0
1,37,1.0
1,38,282.0
1,39,5.0
1,40,2.0
1,41,6.0
1,42,1095.0
1,46,33.0
1,47,125.0
1,51,5.0
1,52,1675.0
1,53,919.0
1,54,2.0
1,55,3.0
1,56,1.0
1,58,1.0
1,59,3.0
1,62,5.0
1,65,31.0
1,67,2.0
1,70,3.0
1,71,3.0
1,73,1.0
1,74,6.0
1,75,2.0
1,78,8.0
1,80,1.0
1,83,20.0
1,84,29.0
1,85,8.0
1,86,9.0
1,91,5.0
1,92,2004.0
1,96,1.0
1,99,461.0
1,101,3.0
1,102,11.0
1,107,6.0
1,109,141.0
1,111,5.0
1,112,1.0
1,114,4.0
1,117,64.0
1,118,5.0
1,119,17.0
1,120,2.0
1,121,1.0
1,124,1.0
1,125,12.0
1,128,28.0
1,129,2.0
1,135,1.0
1,136,34.0
1,137,95.0
1,140,19.0
1,141,1034.0
1,142,215.0
1,143,20.0
1,145,1.0
1,148,2.0
1,152,1.0
1,155,2.0
1,159,3.0
1,161,7.0
1,162,1793.0
1,171,6.0
1,172,4.0
1,174,1.0
1,177,34.0
1,179,10.0
1,180,66.0
1,181,1.0
1,182,5.0
1,185,52.0
1,187,587.0
1,191,78.0
1,192,431.0
1,193,1.0
1,194,7.0
1,195,1.0
1,197,107.0
1,200,4.0
1,201,52.0
1,206,7.0
1,207,2.0
1,208,2.0
1,209,16.0
1,210,19.0
1,211,1.0
1,212,7.0
1,214,4.0
1,215,775.0
1,216,176.0
1,218,1653.0
1,219,7.0
1,223,1.0
1,225,4.0
1,227,1.0
1,229,14.0
1,230,17.0
1,231,69.0
1,233,6.0
1,236,1.0
1,237,6.0
1,238,770.0
1,243,1357.0
1,248,4.0
1,249,1.0
1,250,1.0
1,251,3.0
1,253,4.0
1,255,27.0
1,256,1.0
1,260,1.0
1,261,2.0
1,262,1.0
1,263,11.0
1,264,184.0
1,265,551.0
1,267,2.0
1,268,6.0
1,270,114.0
1,271,3.0
1,272,2.0
1,274,1548.0
1,275,567.0
1,278,1.0
1,279,21.0
1,280,248.0
1,281,1.0
1,282,2.0
1,284,4.0
1,285,3.0
1,286,11.0
1,288,2.0
1,289,1.0
2,5,4.0
2,11,5.0
2,12,18.0
2,20,1.0
2,21,10.0
